Date,Open,High,Low,Close,Volume
2018-01-02,62.96733624271434,65.85595432473238,56.0104899554009,60.24239267754536,50000000.677533664
2018-01-03,57.8051175384157,63.27454240196358,52.90653902432214,56.69431286930496,51649729.63543006
2018-01-04,61.33309107331785,64.81868658543843,55.51383676195728,59.15247281512432,50000000.763895415
2018-01-05,67.62327177483017,68.09661306677835,60.32844860122703,62.12758111346257,81209825.73026937
2018-01-08,68.44728272369113,74.18661740827605,61.63154139969602,63.17632269840782,152424163.79552794
2018-01-09,63.915754874274995,64.88197766353464,58.218247165183946,63.76671583927636,171604600.8931017
2018-01-10,62.01824795889746,64.50128800817316,53.75238077220179,59.47975475513343,59458885.42976343
2018-01-11,65.92525376873544,66.53696932800234,58.37527246671191,61.99309303797514,68063615.50548147
2018-01-12,60.485122320364994,65.23952136194684,59.782733370265646,60.13689205253409,50627918.3585037
2018-01-16,66.69886957099204,67.26131658987644,59.53656237516591,62.81309918319415,76172437.91083917
2018-01-17,67.34889734069145,69.81885647810145,61.82729751414205,65.40242274877886,132899073.45857033
2018-01-18,69.1348518645925,71.46252749697511,62.08958331022773,65.25522035276097,123248630.94435242
2018-01-19,65.53949668966901,68.678041462049,63.47252958008833,65.36243690108493,100569191.4190684
2018-01-22,66.47393449785815,68.91114977041866,59.378233885284125,65.15240301698749,67827517.2410051
2018-01-23,67.46986939542391,72.54378131305026,62.01204333681587,62.789820692860786,50000000.6448506
2018-01-24,68.21857009059619,71.77839220364164,62.30270547763155,64.97880487043881,186840616.55892453
2018-01-25,66.64326694798534,68.48240551506267,60.73507845576925,65.03236751115867,82767253.84419855
2018-01-26,70.35459677440672,74.04030909431235,66.0954262566664,66.9031429748056,136556118.32649976
2018-01-29,72.34606555991763,76.94346191666337,67.05962686166775,67.49079081826247,135354282.51915705
2018-01-30,68.5012002683678,72.30928895263796,61.38047474201317,62.79332529896242,50000000.14135802
2018-01-31,66.76253441456056,72.4353410680757,58.99759466159334,64.30055074478776,69278633.58348659
2018-02-01,69.5267598017161,71.09174637036467,61.32390922273079,66.59776827466894,102334807.67310429
2018-02-02,66.87753432973119,71.04782463946316,64.00057638952292,65.77500419205663,69286293.20443812
2018-02-05,67.27091508261387,73.39761237910923,59.13100063935931,64.3444741293635,50000000.35838003
2018-02-06,68.62151989423089,73.46704425216356,63.101876183675294,66.582121235622,177916931.4661056
2018-02-07,71.84154349909646,72.17735020817585,64.28720203222035,67.08912767164026,185705535.38577574
2018-02-08,68.0305585072815,68.9164491059724,62.07329793766197,63.01072009654105,53349845.19527817
2018-02-09,71.21356882375989,76.95297972183677,63.79508133852762,67.96241447555953,126401789.39923388
2018-02-12,68.67590360316656,69.47628979551615,62.42165848757173,65.56627201673362,50000000.70731817
2018-02-13,63.89090684874402,69.45262751671764,61.434087170191724,63.124904328234905,84302275.68421967
